Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,"111,435.00","111,435.00","107,520.00","108,844.00","108,844.00","11,500,200"
2021-09-17,"113,794.00","113,794.00","111,157.00","111,439.00","111,439.00","14,827,600"
2021-09-16,"115,062.00","115,062.00","113,395.00","113,794.00","113,794.00","10,685,500"
2021-09-15,"116,191.00","116,312.00","114,741.00","115,063.00","115,063.00","9,456,800"
2021-09-14,"116,405.00","117,270.00","115,809.00","116,181.00","116,181.00","9,034,100"
2021-09-13,"114,300.00","117,046.00","114,300.00","116,404.00","116,404.00","9,253,400"
2021-09-10,"115,370.00","116,896.00","114,286.00","114,286.00","114,286.00","11,155,700"
2021-09-09,"113,413.00","116,354.00","112,435.00","115,361.00","115,361.00","13,890,600"
2021-09-08,"117,866.00","117,866.00","113,172.00","113,413.00","113,413.00","12,254,400"
2021-09-06,"116,926.00","117,981.00","116,156.00","117,869.00","117,869.00","5,111,300"
2021-09-03,"116,679.00","117,396.00","115,583.00","116,933.00","116,933.00","12,517,500"
2021-09-02,"119,394.00","119,397.00","116,534.00","116,677.00","116,677.00","9,862,800"
2021-09-01,"118,793.00","119,942.00","118,067.00","119,396.00","119,396.00","9,523,000"
2021-08-31,"119,738.00","120,157.00","117,911.00","118,781.00","118,781.00","11,535,600"
2021-08-30,"120,677.00","120,684.00","119,354.00","119,740.00","119,740.00","6,391,900"
2021-08-27,"118,725.00","120,678.00","118,721.00","120,678.00","120,678.00","7,323,600"
2021-08-26,"120,817.00","120,833.00","118,719.00","118,724.00","118,724.00","8,426,900"
2021-08-25,"120,210.00","120,818.00","119,226.00","120,818.00","120,818.00","7,520,100"
2021-08-24,"117,474.00","120,463.00","117,474.00","120,211.00","120,211.00","9,181,000"
2021-08-23,"118,053.00","118,445.00","117,062.00","117,472.00","117,472.00","7,853,000"
2021-08-20,"117,163.00","118,308.00","116,040.00","118,053.00","118,053.00","8,929,300"
2021-08-19,"116,641.00","117,453.00","114,801.00","117,165.00","117,165.00","10,525,900"
2021-08-18,"117,904.00","118,739.00","116,489.00","116,643.00","116,643.00","11,745,800"
2021-08-17,"119,179.00","119,179.00","116,248.00","117,904.00","117,904.00","11,218,200"
2021-08-16,"121,191.00","121,191.00","118,684.00","119,180.00","119,180.00","9,741,700"
2021-08-13,"120,701.00","121,275.00","120,045.00","121,194.00","121,194.00","10,642,200"
2021-08-12,"122,056.00","122,095.00","120,534.00","120,701.00","120,701.00","11,066,000"
2021-08-11,"122,203.00","122,756.00","120,827.00","122,056.00","122,056.00","8,685,200"
2021-08-10,"123,021.00","123,513.00","122,061.00","122,202.00","122,202.00","8,297,600"
2021-08-09,"122,809.00","123,597.00","122,258.00","123,019.00","123,019.00","7,171,500"
2021-08-06,"121,633.00","123,287.00","121,568.00","122,810.00","122,810.00","7,499,200"
2021-08-05,"121,801.00","123,541.00","121,128.00","121,633.00","121,633.00","10,913,000"
2021-08-04,"123,577.00","123,587.00","121,072.00","121,801.00","121,801.00","9,164,200"
2021-08-03,"122,516.00","123,765.00","120,807.00","123,577.00","123,577.00","9,391,300"
2021-08-02,"121,803.00","124,536.00","121,797.00","122,516.00","122,516.00","8,565,400"
2021-07-30,"125,672.00","125,673.00","121,748.00","121,801.00","121,801.00","9,399,200"
2021-07-29,"126,285.00","126,476.00","124,917.00","125,675.00","125,675.00","7,488,400"
2021-07-28,"124,615.00","126,712.00","124,542.00","126,286.00","126,286.00","9,038,200"
2021-07-27,"126,004.00","126,026.00","123,670.00","124,612.00","124,612.00","7,313,800"
2021-07-26,"125,058.00","126,214.00","125,006.00","126,004.00","126,004.00","6,325,500"
2021-07-23,"126,140.00","126,204.00","124,422.00","125,053.00","125,053.00","6,051,800"
2021-07-22,"125,930.00","126,428.00","125,416.00","126,147.00","126,147.00","6,480,400"
2021-07-21,"125,404.00","126,112.00","125,247.00","125,929.00","125,929.00","7,148,900"
2021-07-20,"124,395.00","125,631.00","123,631.00","125,401.00","125,401.00","7,627,500"
2021-07-19,"125,958.00","125,958.00","123,317.00","124,395.00","124,395.00","9,210,200"
2021-07-16,"127,468.00","128,010.00","125,808.00","125,960.00","125,960.00","7,355,800"
2021-07-15,"128,407.00","128,976.00","126,922.00","127,468.00","127,468.00","7,418,600"
2021-07-14,"128,169.00","129,620.00","128,085.00","128,407.00","128,407.00",-
2021-07-13,"127,594.00","128,420.00","126,441.00","128,168.00","128,168.00","7,152,000"
2021-07-12,"125,428.00","127,782.00","125,428.00","127,594.00","127,594.00","7,421,600"
2021-07-08,"127,013.00","127,013.00","124,310.00","125,428.00","125,428.00","8,881,400"
2021-07-07,"125,096.00","127,249.00","125,094.00","127,019.00","127,019.00","8,151,400"
2021-07-06,"126,919.00","126,919.00","124,866.00","125,095.00","125,095.00","7,651,300"
2021-07-05,"127,622.00","127,633.00","126,531.00","126,920.00","126,920.00","5,255,600"
2021-07-02,"125,667.00","127,672.00","125,667.00","127,622.00","127,622.00","7,434,800"
2021-07-01,"126,802.00","127,204.00","124,994.00","125,666.00","125,666.00","9,292,000"
2021-06-30,"127,323.00","127,323.00","126,199.00","126,802.00","126,802.00","9,098,600"
2021-06-29,"127,429.00","127,507.00","126,184.00","127,327.00","127,327.00","7,777,900"
2021-06-28,"127,255.00","128,067.00","126,629.00","127,429.00","127,429.00","8,155,600"
2021-06-25,"129,513.00","129,748.00","126,697.00","127,256.00","127,256.00","9,363,800"
2021-06-24,"128,433.00","129,541.00","128,428.00","129,514.00","129,514.00","7,237,000"
2021-06-23,"128,769.00","129,901.00","128,182.00","128,428.00","128,428.00","7,988,900"
2021-06-22,"129,242.00","129,259.00","127,803.00","128,767.00","128,767.00","9,328,000"
2021-06-21,"128,405.00","129,412.00","128,048.00","129,265.00","129,265.00","7,333,600"
2021-06-18,"128,050.00","128,796.00","127,595.00","128,405.00","128,405.00","12,432,000"
2021-06-17,"129,259.00","129,919.00","127,576.00","128,057.00","128,057.00","9,664,700"
2021-06-16,"130,091.00","130,283.00","128,345.00","129,259.00","129,259.00","12,879,400"
2021-06-15,"130,208.00","130,436.00","129,304.00","130,091.00","130,091.00","7,211,500"
2021-06-14,"129,441.00","131,084.00","129,441.00","130,208.00","130,208.00","8,155,700"
2021-06-11,"130,076.00","130,294.00","128,678.00","129,441.00","129,441.00","7,748,200"
2021-06-10,"129,911.00","130,527.00","129,526.00","130,076.00","130,076.00","8,537,900"
2021-06-09,"129,800.00","130,882.00","129,281.00","129,907.00","129,907.00","9,833,700"
2021-06-08,"130,776.00","130,776.00","129,230.00","129,787.00","129,787.00","10,346,600"
2021-06-07,"130,125.00","131,190.00","129,498.00","130,776.00","130,776.00","9,655,400"
2021-06-04,"129,600.00","130,137.00","129,148.00","130,126.00","130,126.00","9,814,800"
2021-06-02,"128,268.00","129,601.00","128,167.00","129,601.00","129,601.00","12,781,100"
2021-06-01,"126,218.00","128,363.00","126,218.00","128,267.00","128,267.00","12,496,100"
2021-05-31,"125,561.00","126,216.00","125,540.00","126,216.00","126,216.00","5,946,500"
2021-05-28,"124,367.00","125,698.00","124,284.00","125,561.00","125,561.00","8,838,500"
2021-05-27,"123,989.00","124,537.00","123,470.00","124,367.00","124,367.00",-
2021-05-26,"122,988.00","124,256.00","122,988.00","123,989.00","123,989.00","8,258,400"
2021-05-25,"124,032.00","124,696.00","122,701.00","122,988.00","122,988.00","8,914,500"
2021-05-24,"122,592.00","124,167.00","122,526.00","124,032.00","124,032.00","8,186,300"
2021-05-21,"122,701.00","122,799.00","121,760.00","122,592.00","122,592.00","9,493,600"
2021-05-20,"122,636.00","122,734.00","122,136.00","122,701.00","122,701.00","7,906,400"
2021-05-19,"122,976.00","123,013.00","121,595.00","122,636.00","122,636.00","8,825,300"
2021-05-18,"122,937.00","123,544.00","122,550.00","122,980.00","122,980.00","7,840,100"
2021-05-17,"121,880.00","123,074.00","121,680.00","122,938.00","122,938.00","7,408,100"
2021-05-14,"120,719.00","122,195.00","120,719.00","121,881.00","121,881.00","10,136,300"
2021-05-13,"119,711.00","121,426.00","119,711.00","120,706.00","120,706.00","9,356,200"
2021-05-12,"122,964.00","122,964.00","119,458.00","119,710.00","119,710.00","9,405,200"
2021-05-11,"121,904.00","122,964.00","120,145.00","122,964.00","122,964.00","7,988,600"
2021-05-10,"122,038.00","122,772.00","121,795.00","121,909.00","121,909.00","8,219,100"
2021-05-07,"119,922.00","122,038.00","119,922.00","122,038.00","122,038.00","8,865,100"
2021-05-06,"119,577.00","119,966.00","119,071.00","119,921.00","119,921.00","8,779,600"
2021-05-05,"117,725.00","119,734.00","117,725.00","119,564.00","119,564.00","9,059,100"
2021-05-04,"119,209.00","119,293.00","117,631.00","117,712.00","117,712.00","8,765,500"
2021-05-03,"118,951.00","119,904.00","118,528.00","119,209.00","119,209.00","8,888,300"
2021-04-30,"120,064.00","120,125.00","118,894.00","118,894.00","118,894.00","11,093,200"
2021-04-29,"121,053.00","121,498.00","119,703.00","120,066.00","120,066.00","8,500,200"
2021-04-28,"119,392.00","121,276.00","119,392.00","121,053.00","121,053.00","9,081,500"
2021-04-27,"120,595.00","121,012.00","119,003.00","119,388.00","119,388.00","8,362,300"
2021-04-26,"120,534.00","121,393.00","119,860.00","120,595.00","120,595.00","7,095,300"
2021-04-23,"119,372.00","120,815.00","119,372.00","120,530.00","120,530.00","7,615,500"
2021-04-22,"120,064.00","120,995.00","119,203.00","119,371.00","119,371.00","8,598,600"
2021-04-20,"120,925.00","121,354.00","119,841.00","120,062.00","120,062.00","7,811,500"
2021-04-19,"121,116.00","121,974.00","120,682.00","120,934.00","120,934.00","10,028,100"
2021-04-16,"120,701.00","121,333.00","120,199.00","121,114.00","121,114.00","7,945,600"
2021-04-15,"120,290.00","121,409.00","120,084.00","120,701.00","120,701.00","7,948,100"
2021-04-14,"119,298.00","120,871.00","119,298.00","120,295.00","120,295.00","10,076,600"
2021-04-13,"118,809.00","119,529.00","118,041.00","119,297.00","119,297.00","8,977,600"
2021-04-12,"117,661.00","118,812.00","117,661.00","118,812.00","118,812.00","7,000,500"
2021-04-09,"118,313.00","118,643.00","117,336.00","117,670.00","117,670.00","7,739,400"
